Rank,Title,url,Votes_10,Votes_9,Votes_8,Votes_7,Votes_6,Votes_5,Votes_4,Votes_3,Votes_2,Votes_1,Votes_M,Votes_F,AvgRating_M,AvgRating_F
196,The Invisible Guest,https://www.imdb.com/title/tt4857264/,23040,32024,43092,20513,5712,1741,666,354,234,528,71203,19938,8.0,8.2
197,The Handmaiden,https://www.imdb.com/title/tt4016934/,15936,26329,35244,17425,5294,2030,881,519,381,1029,59605,16446,8.0,8.2
198,Mommy,https://www.imdb.com/title/tt3612616/,9181,12456,14249,7578,2752,1081,496,317,236,503,26998,10499,8.0,8.3
200,Logan,https://www.imdb.com/title/tt3315342/,130447,151672,177371,102978,37507,13255,5773,3085,2122,4345,374651,57892,8.1,7.9
201,Room,https://www.imdb.com/title/tt3170832/,52900,91900,123484,60843,17321,5535,2132,1210,820,2047,188517,66974,8.1,8.3
202,Wild Tales,https://www.imdb.com/title/tt3011894/,26485,43475,58702,28135,7940,2690,1121,637,454,1207,104866,24350,8.1,8.2
203,Winter Sleep,https://www.imdb.com/title/tt2758880/,12956,10016,10006,5504,2228,1048,526,358,283,1066,27961,5876,8.1,8.3
208,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,108341,178462,216483,112208,39647,15071,6853,3946,2777,4775,396511,115202,8.1,8.1
209,Gone Girl,https://www.imdb.com/title/tt2267998/,110280,219880,287598,138500,43192,14974,6783,4130,2839,6634,478221,138596,8.1,8.1
210,Wolf Children,https://www.imdb.com/title/tt2140203/,7595,8992,11283,6083,1988,664,241,116,76,215,19517,7473,8.1,8.3
211,Hacksaw Ridge,https://www.imdb.com/title/tt2119532/,81228,106881,127772,65721,21020,7758,3409,1716,1183,2515,250963,42135,8.1,8.3
212,Inside Out,https://www.imdb.com/title/tt2096673/,111402,148110,171130,98889,36696,13030,5204,2837,1796,4465,313084,102356,8.2,8.2
214,12 Years a Slave,https://www.imdb.com/title/tt2024544/,92395,157526,208999,105196,33789,11809,4911,2942,2194,5697,372060,97510,8.1,8.1
215,Rush,https://www.imdb.com/title/tt1979320/,62047,106385,149517,74520,19366,5742,2067,1039,811,1892,287214,40562,8.1,8.0
216,Le Mans '66,https://www.imdb.com/title/tt1950186/,39085,66351,92133,41017,10352,2964,914,490,408,856,150587,21387,8.1,8.1
